Range,Total Shelves,Total Capacity,Available Inches,Occupied Inches,Percent Empty,Percent Full,Average Shelf Length For Each Range,LC Call # Start,,LC Call # Stop,Collection Type,,,,,,,,,,,1,AG,4
All Range Totals,"6,699","238,176","68,682","169,494",28.84%,71.16%,----------,-------------------------,-,-------------------------,----------,,,,,,,,,,,2TEMP,AG,7
1a,28.00,996.63,313.00,683.63,31.41%,68.59%,35.59,BX 4020 .O54 1944,-,DA 670 .D7 W2 1872,Collection 1,,,,,,,,,,,3,AG,7
1b,28.00,996.63,343.00,653.63,34.42%,65.58%,35.59,DA 670 .H73 G73 1920,-,DG 674.7 .R62 1980,Collection 1,,,,,,,,,,,,,
2a,28.00,996.63,398.88,597.75,40.02%,59.98%,35.59,DG 676.97 .I66 I86 2011,-,DR 2079 .Z328 2016,Collection 1,,,,,,,,,,,4,AF,7PILLAR
2b,28.00,996.63,554.63,442.00,55.65%,44.35%,35.59,DS 5 .Z5 1972,-,DS 935.7775 .L44 2014,Collection 1,,,,,,,,,,,,,
3a,42.00,1493.25,1493.25,0.00,100.00%,0.00%,35.55,Overflow,-,Overflow,Collection 1,,,,,,,,,,,5,AL,7
3b,42.00,1493.25,1493.25,0.00,100.00%,0.00%,35.55,Overflow,-,Overflow,Collection 1,,,,,,,,,,,6,AL,7
4a,49.00,1742.13,1742.13,0.00,100.00%,0.00%,35.55,Temp,-,Temp,Collection 1,,,,,,,,,,,7,AD,7
4b,49.00,1742.13,1742.13,0.00,100.00%,0.00%,35.55,Temp,-,Temp,Collection 1,,,,,,,,,,,SPACE,,
5a,42.00,1493.25,356.00,1137.25,23.84%,76.16%,35.55,BX 4009 .R53 2002,-,BX 4337.5 .E35 E92 1997,Collection 1,,,,,,,,,,,8-11,AD,7
5b,40.00,1421.50,385.50,1036.00,27.12%,72.88%,35.54,BX 4337.5 .E35 W48 1999,-,BX 4603 .G746 S3567 1995,Collection 1,,,,,,,,,,,12,AL,7
6a,81.00,2878.87,742.00,2136.87,25.77%,74.23%,35.54,BX 4603 .G757 S356,-,BX 4669 .C69,Collection 1,,,,,,,,,,,13,AJ,7 PILLAR
6b,84.00,2986.50,802.00,2184.50,26.85%,73.15%,35.55,BX 4669 .C78,-,BX 4700 .G3 R4 1924,Collection 1,,,,,,,,,,,14-17,AL,7
